student_id,name,registration_date,course,gender,date_of_birth,address,cc,cellphone
22,Manuel Nascimento,2023-12-14,Ano Zero Plano de Estudos I (Psicologia),M,2003-02-25,"Travessa do Preto, 56 4151-658 Miranda do Douro",137913738,979527788
23,Nelson Ribeiro,2023-07-08,Ano Zero Plano de Estudos II (Serviço Social),F,2004-12-21,"Travessa Barros, 488 0889-087 Sabugal",535429376,489457671
24,Soraia Reis,2023-10-25,1º Ciclo de Psicologia,M,1994-05-14,"Largo de Lopes, 5 3563-790 Torres Novas",979936907,957683016
25,Wilson do Gaspar,2024-03-25,2º Ciclo de Psicologia,M,1989-04-23,"Av Luís Ferreira, 28 8385-224 Portimão",405796573,604263991
26,Bryan Neves,2023-08-10,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",M,2002-02-05,"Travessa Garcia, 47 9599-083 Trancoso",751737403,801946380
27,Ema Esteves,2024-03-24,1º Ciclo de Jornalismo,F,2002-07-01,"Avenida do Dr. Antunes Guimarães, 65 5653-234 Rio Tinto",737912743,531922512
28,Amélia do Nunes,2023-11-24,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,M,1995-07-28,"Av de Paiva, 9 9056-924 Espinho",566282788,381632389
29,Leonardo Lima,2023-10-05,Ano Zero Plano de Estudos II (Serviço Social),M,2003-03-20,"Av de Ribeiro Sanches, 5 0989-051 São Salvador de Lordelo",448118128,241349680
30,Bruna Cruz-Nunes,2024-02-01,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,M,1993-05-07,"R. do Paço, 18 4006-658 Figueira da Foz",907629178,183429735
31,Márcio Barros,2023-09-07,2º Ciclo de Psicologia,M,2004-03-09,"Rua Baptista, 92 8022-325 Mealhada",293486958,279837814
32,Flor Leal,2024-03-01,Ano Zero Plano de Estudos II ( Gestão),F,2005-07-08,"R. Almeida, 8 7516-300 Almeirim",820999827,365175128
33,Mauro Pinheiro,2023-10-26,Ano Zero Área de Jornalismo,M,2006-11-27,"Travessa Ivo Correia, 52 8850-140 Peniche",819488009,273284486
34,Kelly Santos,2024-04-26,2º Ciclo de Serviço Social,F,1994-09-05,"Praça Henrique Faria, 70 0025-729 Vila Real de Santo António",645835330,59362776
35,Violeta Nascimento-Martins,2023-09-20,1º Ciclo de Comunicação Empresarial,M,1992-12-13,"Alameda Alexandra Neto, 33 2728-377 Gandra",867701815,3373122
36,Bruno Freitas,2023-05-13,1º Ciclo de Gestão,F,1992-08-01,"Rua Campos, S/N 3075-595 Lamego",631548077,176556133
37,Ângela Loureiro,2024-02-24,1º Ciclo de Gestão,M,1991-12-11,"Rua do Pinheiro, 5 8046-868 Entroncamento",784378171,603864683
38,Íris Amaral,2023-12-09,Ano Zero Plano de Estudos I (Psicologia),M,2006-01-22,"Travessa Carneiro, S/N 9312-341 Vale de Cambra",187808002,932918163
39,Vicente Neves,2023-06-06,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,M,2002-07-16,"R. Rodrigues, 35 4278-559 Tavira",156805285,145069441
40,Noa Neves,2023-11-29,Ano Zero Área de Jornalismo,M,1993-08-09,"R. Pires, 57 6545-017 Covilhã",534256600,743337563
41,Alexandre do Pires,2023-10-25,1º Ciclo de Multimédia,M,1989-01-08,"Praça Santos, 395 5345-337 Coimbra",763965308,490940362
42,Gonçalo Lima,2024-04-17,1º Ciclo de Jornalismo,M,2004-07-03,"Praça das Fragatas, 84 4811-017 Coimbra",476154150,687189277
43,Vicente Batista,2023-06-11,Ano Zero Área de Design,F,1993-03-25,"Rua de Assunção, 355 4138-719 Albufeira",644008004,865163849
44,Gil Abreu,2023-08-04,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",F,1991-03-05,"Travessa Fernandes, 93 1923-552 Póvoa de Santa Iria",538347695,185517925
45,Nádia Magalhães,2023-08-22,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,M,1992-08-26,"Largo João Gomes, 39 6909-315 Fiães",945681831,539710649
46,Anita Campos,2024-04-16,1º Ciclo de Gestão,F,1990-11-05,"Alameda Santos, 4 1090-301 Gafanha da Nazaré",161990772,233963239
47,Madalena Guerreiro-Jesus,2024-02-01,2º Ciclo de Psicologia,F,2003-09-04,"Alameda de Rodrigues, S/N 3668-071 Guarda",62413625,724161535
48,Nelson Pereira,2024-03-31,1º Ciclo de Design de Comunicação,M,1996-06-07,"Av Branco, S/N 2392-901 Ermesinde",613859945,277384622
49,Enzo Marques,2023-10-08,Ano Zero Plano de Estudos I (Comunicação Empresarial),M,2003-11-03,"Travessa de Correia, 95 2138-320 Entroncamento",159601219,479105469
50,Rita Mendes,2024-04-16,Pós graduação Psicoterapia Psicanalítica – 7ª edição,M,1995-08-20,"Avenida de Brito, 255 3288-647 Ribeira Grande",89476680,108737833
51,Paulo Vicente,2023-07-28,2º Ciclo de Psicologia,F,2004-02-15,"R. República Argentina, 15 7289-212 Oliveira do Bairro",605856971,932321670
52,Wilson Morais,2023-11-27,Ano Zero Plano de Estudos II (Serviço Social),M,2003-02-28,"Largo do Evaristo, 591 1061-083 Castelo Branco",23229251,165509179
53,Alexandra Barbosa,2024-04-11,1º Ciclo de Design de Comunicação,F,1997-06-07,"Avenida Cláudio Martins, 58 1112-129 Braga",177235250,400774825
54,Petra da Mendes,2024-02-03,1º Ciclo de Jornalismo,M,2005-08-14,"Praça Rodrigo Vieira, 2 7893-983 Alcobaça",657636596,535446347
55,Adriana da Pinto,2024-03-15,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",F,1997-12-09,"Praça Macedo, 94 5802-523 Câmara de Lobos",516478895,273347756
56,Érica Nascimento,2024-02-02,1º ciclo de Serviço Social,F,2004-03-17,"Alameda Filipa Silva, 6 3088-598 São João da Madeira",628319092,318694122
57,Diogo Magalhães,2023-10-24,1º Ciclo de Informática,M,2000-06-18,"Avenida Luna Vieira, S/N 0164-187 Vizela",429178447,461567856
58,Ângelo Leal,2023-09-10,Ano Zero Área de Design,F,1997-11-11,"Praça Rodrigues, 80 9412-850 Sintra",476892590,690114992
59,Eduarda Mendes,2023-12-18,1º Ciclo de Jornalismo,M,2001-05-03,"Alameda de Mendes, S/N 6477-996 São João da Madeira",404723858,458858212
60,Laura Maia-Nunes,2023-09-25,Ano Zero Plano de Estudos II (Serviço Social),F,1990-02-22,"R. de Ramalde, 33 1531-525 Porto Santo",468985378,923528851
61,Gabriel Guerreiro,2024-04-23,1º Ciclo de Gestão de Recursos Humanos,F,2005-08-19,"Alameda da Igreja, 96 5006-050 Gafanha da Nazaré",1078735,631964290
62,Anita Lopes,2024-03-13,Ano Zero Plano de Estudos I (Comunicação Empresarial),M,2003-09-22,"Alameda de Brito, 63 0199-496 Oliveira do Bairro",814646149,210601681
63,Anita-Larissa Barbosa,2024-01-21,2º Ciclo de Serviço Social,M,2004-09-23,"Alameda de Antero de Figueiredo, S/N 9400-748 Bragança",502941556,575640590
64,António Correia,2023-11-29,1º Ciclo de Informática,M,2005-07-07,"R. dos Aliados, S/N 9855-217 Lisboa",721845241,303126123
65,Duarte Figueiredo,2024-01-10,Ano Zero Plano de Estudos II (Serviço Social),M,2006-11-01,"R. Guerreiro, 95 7671-169 Alcácer do Sal",886240357,658658490
66,Luciana Nogueira,2023-11-09,Ano Zero Área de Multimédia,F,1989-12-17,"Rua de Carvalho, 2 3442-418 Montijo",781882734,93368191
67,Marco Ramos-Silva,2023-06-09,1º ciclo de Serviço Social,F,1993-09-21,"Rua de Miranda, 596 5749-818 Vila do Conde",302852973,25785331
68,Fabiana de Melo,2023-06-01,Ano Zero Área de Design,M,2002-04-08,"R. de Freitas, 48 3298-383 Rio Tinto",665357776,303938298
69,Emanuel Ferreira-Gomes,2024-02-08,Ano Zero Área de Design,M,1995-03-20,"Alameda de Castro, 61 5536-031 Braga",36270244,568654610
70,Miriam Carneiro,2023-06-23,1º Ciclo de Comunicação Empresarial,F,1998-05-03,"Praça Sá, 413 2235-763 Coimbra",105585828,579703889
71,Jorge Monteiro-Amorim,2023-11-06,1º ciclo de Serviço Social,F,2001-02-23,"Travessa Gabriel Mendes, 44 7699-268 Caldas da Rainha",313017024,862428969
72,Madalena Baptista,2023-11-11,Ano Zero Área de Jornalismo,F,1996-10-25,"Rua Sousa, 96 6076-389 Santa Comba Dão",961187070,101250259
73,Gaspar Vieira,2023-07-16,1º Ciclo de Informática,M,1992-07-03,"Avenida Enzo Jesus, 34 2284-128 Torres Vedras",379141194,82155916
74,Rafaela Borges,2024-02-21,Ano Zero Plano de Estudos Único (Informática),M,2004-08-28,"Praça Constança Cruz, 37 1106-036 Vila Nova de Santo André",733064779,372028610
75,Laura Neves-Rocha,2023-09-09,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",M,2000-05-26,"Largo da Associação Empresarial de Portugal, 33 3281-723 Santana",256996376,703301541
76,Micael do Mendes,2023-06-30,1º ciclo de Serviço Social,M,1993-10-02,"Rua Guerreiro, 78 0468-869 Oliveira do Hospital",723500878,249980535
77,Constança Abreu,2024-03-01,Ano Zero Plano de Estudos III ( Gestão de Recursos Humanos)v,F,1993-08-25,"Avenida Maria Amorim, 9 2031-304 Póvoa de Santa Iria",219671564,49838587
78,Amélia Oliveira,2023-05-30,2º Ciclo de Psicologia,F,1993-06-19,"Rua Egito Gonçalves, 75 4894-827 Caldas da Rainha",80583363,800402912
79,Soraia Machado-Matos,2023-11-13,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",M,2001-02-19,"Travessa Benedita Cruz, S/N 5848-538 Marco de Canaveses",654514938,182318729
80,Nair Almeida-Vaz,2024-02-07,Ano Zero Plano de Estudos I (Psicologia),F,1999-03-01,"Rua de Martins, 48 3315-550 Quarteira",59016886,313168420
81,Diogo Amorim,2023-12-04,Ano Zero Área de Design,M,1995-10-18,"Avenida Oliveira, 260 5067-809 Olhão",833374704,940945944
82,Jorge Faria,2024-02-08,2º Ciclo de Psicologia,M,2004-03-19,"Travessa Marcos Nunes, 50 6651-403 Chaves",644321054,285139401
83,Marta Maia,2024-04-10,1º Ciclo de Design de Comunicação,M,1998-04-27,"Avenida Victória Gaspar, 2 4472-596 Odivelas",289062274,418790056
84,Jorge Moreira,2023-11-30,1º Ciclo de Jornalismo,M,2001-08-04,"Av César Lopes, 21 8415-334 Portalegre",374488643,660727642
85,Simão Silva,2024-03-25,Ano Zero Área de Design,M,2000-01-20,"Rua Lopes, S/N 7154-606 São Salvador de Lordelo",62573343,236409653
86,Gonçalo Moreira-Machado,2023-12-10,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,1998-07-22,"R. Azevedo, 17 6547-135 Fiães",488598761,700802689
87,Márcio Mendes,2023-06-11,Ano Zero Plano de Estudos II (Serviço Social),F,1997-10-20,"Rua Vitória Carneiro, 186 3618-856 Seixal",267561983,404025122
88,Valentina-Yara Araújo,2023-12-26,1º Ciclo de Gestão,M,1990-07-02,"Travessa Amélia Maia, 64 1712-270 Gouveia",677266105,59076322
89,Joel Faria,2023-09-01,Ano Zero Plano de Estudos Único (Informática),F,2005-12-26,"Alameda Panorâmica, 71 6238-430 Esposende",363675829,629250494
90,Raquel-Alícia Freitas,2023-06-15,Ano Zero Plano de Estudos II ( Gestão),M,2004-01-02,"Travessa Mariana Oliveira, 68 3228-863 Matosinhos",124941875,360387632
91,Maria Gomes-Teixeira,2023-10-14,Ano Zero Área de Jornalismo,M,1989-10-04,"Avenida Erica Antunes, 3 0973-731 Valbom",420593297,787058379
92,Marco Barbosa,2023-08-19,2º Ciclo de Psicologia,F,1994-12-24,"Alameda de Guerreiro, S/N 7453-633 Trancoso",754247779,448653295
93,Jorge Jesus,2023-11-03,1º Ciclo de Multimédia,F,1998-10-28,"Largo Faria, 3 4240-068 Braga",533159278,255538798
94,Petra de Melo,2023-08-01,Ano Zero Plano de Estudos Único (Informática),M,1994-04-09,"Rua dos Aliados, 38 9555-165 Paredes",296608345,876201916
95,Larissa Vieira,2023-09-08,1º Ciclo de Empreendedorismo,F,1996-01-13,"Travessa Carolina Nascimento, 747 4863-966 Portimão",716617744,93966566
96,Andreia Moura,2024-03-30,1º ciclo de Serviço Social,M,2000-09-22,"Av Tristão da Silva, S/N 1491-701 Gafanha da Nazaré",83403418,395283798
97,Fabiana Sá,2024-03-16,1º ciclo de Serviço Social,F,2006-02-06,"Av de Maceda, 23 7423-103 Ílhavo",8050467,534179193
98,Gabriela-Ângela Henriques,2023-10-09,1º Ciclo de Gestão de Recursos Humanos,M,2000-07-09,"Rua de Neves, 63 7891-739 Santa Comba Dão",698424265,429770494
99,Álvaro Correia,2023-10-12,1º Ciclo de Multimédia,M,2001-03-06,"Avenida de Nunes, 9 4296-822 Almeirim",589198414,634897676
100,Bryan Figueiredo,2024-02-08,1º Ciclo de Gestão,M,2003-01-18,"Largo Gomes, 98 9357-180 Serpa",833418294,412497107
101,Sérgio Branco,2024-03-26,2º Ciclo de Psicologia,M,2005-10-13,"Rua de Reis, 878 6068-168 Peniche",700168304,702033657
102,Ivan Fonseca,2023-11-18,2º Ciclo de Serviço Social,M,1994-04-23,"Praça de Moreira, 9 3865-057 Faro",186047249,716211972
103,Micael Ferreira,2023-12-19,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",M,1994-03-21,"Travessa Rodrigues, 2 7718-799 Figueira da Foz",665455024,452626153
104,Gaspar Azevedo,2023-10-21,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,2005-01-02,"Av de Morais, 1 2314-179 Horta",197856995,669623114
105,João Moura,2023-07-30,Ano Zero Área de Jornalismo,M,1994-09-25,"Rua Ismael Correia, 7 7705-018 Mêda",58374325,688502544
106,Filipa Paiva,2023-11-18,1º Ciclo de Empreendedorismo,M,1994-07-03,"Travessa Pacheco, 61 5902-302 Tarouca",505911955,997200430
107,Margarida Henriques,2023-10-01,1º Ciclo de Gestão de Recursos Humanos,M,2006-11-09,"Rua de Guerreiro, 5 3346-888 Loulé",79055342,26307206
108,Ariana Cunha,2023-12-14,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",F,2001-05-15,"Alameda Xavier Baptista, S/N 5467-256 Sintra",832515134,397005736
109,Carlota-Valentina Barbosa,2023-09-19,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",M,2005-05-26,"Alameda Barros, 63 0016-423 Gondomar",341811847,166100505
110,Constança Loureiro,2024-01-04,Ano Zero Área de Jornalismo,M,1995-08-13,"Alameda Gustavo Anjos, 653 9208-710 Chaves",80339134,786460204
111,Isabel Cruz-Oliveira,2023-11-29,Ano Zero Plano de Estudos IV (Empreendedorismo),M,2005-07-24,"Av Mafalda Barros, 683 7330-514 Odivelas",135161647,802097630
112,Rodrigo Vicente,2023-07-10,1º Ciclo de Multimédia,F,2005-11-18,"Rua Lourenço, S/N 4629-410 Mêda",110639654,163635188
113,Ema Vicente,2024-02-20,1º Ciclo de Informática,M,2002-03-23,"R. da Companhia, 60 9029-217 Ermesinde",953217416,37700687
114,Duarte da Batista,2023-12-13,Ano Zero Área de Jornalismo,F,2006-10-14,"R. Cunha, 44 2757-241 Cantanhede",57723166,304936939
115,Filipe Nogueira,2023-05-19,Ano Zero Plano de Estudos I (Psicologia),F,1990-06-06,"Praça Vicente, S/N 9089-383 Beja",725284130,641218359
116,David Rocha,2023-07-03,Ano Zero Plano de Estudos I (Comunicação Empresarial),M,1993-04-01,"Avenida de Pires, 250 4829-164 Angra do Heroísmo",5715468,922248844
117,Mateus Miranda-Cunha,2023-07-04,Ano Zero Plano de Estudos III ( Gestão de Recursos Humanos)v,M,2001-02-12,"Avenida Samuel Mendes, 38 1078-943 Ílhavo",574466046,584814629
118,Maria Baptista-Leal,2023-07-05,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,1997-10-15,"Av do Dr. António Macedo, 6 2368-273 Almeirim",27280220,413901774
119,Érica Fernandes,2024-05-10,Pós graduação Psicoterapia Psicanalítica – 7ª edição,F,2002-02-14,"Praça da Boa Viagem, S/N 2069-814 Amarante",798945407,965161533
120,Gaspar Batista,2023-08-20,2º Ciclo de Psicologia,M,1996-01-27,"Rua Lima, 78 7681-442 Odivelas",274471243,605962550
121,Hugo de Vaz,2023-09-22,Ano Zero Plano de Estudos Único (Informática),F,2006-07-11,"Av Luana Lima, 76 6142-750 Viseu",372672975,152477401
122,Íris de Vicente,2023-08-22,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",M,1996-08-08,"R. Maestro Ivo Cruz, 93 4750-257 Sintra",756787546,691303530
123,Violeta Fernandes,2023-10-17,2º Ciclo de Psicologia,F,2005-01-11,"Largo Tatiana Soares, 75 9387-326 Portalegre",929029366,691166182
124,Valentim Oliveira-Neves,2023-12-03,1º ciclo de Serviço Social,F,2003-12-08,"R. Nunes, 3 5782-180 Queluz",234581239,685868726
125,Renato Matias,2023-11-11,1º Ciclo de Psicologia,M,1994-11-18,"Rua Martim Reis, 86 7577-359 Tomar",958357974,109319946
126,Bernardo Ramos-Garcia,2024-01-01,1º Ciclo de Multimédia,M,1991-11-24,"Alameda de Melo, 351 5646-264 Barreiro",916424721,240006873
127,Nuno Nogueira,2023-07-28,1º Ciclo de Comunicação Empresarial,F,1992-10-19,"R. Ismael Amaral, S/N 3832-342 Vila Nova de Foz Côa",351958101,446474980
128,Gabriela Reis,2024-02-07,2º Ciclo de Psicologia,M,2006-07-10,"Travessa Miranda, 898 6092-880 Ourém",528281522,54496806
129,Madalena Silva,2023-12-21,Ano Zero Área de Multimédia,F,1993-04-05,"Rua de Esteves, 9 0193-570 Fátima",188014821,45722012
130,Lúcia Ribeiro,2023-11-22,1º Ciclo de Gestão de Recursos Humanos,F,2000-10-14,"Praça do Bicalho, 773 6634-278 Porto Santo",582615118,528888963
131,Débora-Isabel Brito,2023-12-08,2º Ciclo de Serviço Social,M,1993-02-24,"R. de Maia, 3 3191-399 Valpaços",120318625,475196628
132,Melissa de Neto,2023-07-16,1º Ciclo de Psicologia,F,1990-10-11,"R. Caetana Fernandes, 29 3337-850 São Mamede de Infesta",334654001,506114121
133,Ana Freitas-Moreira,2024-04-23,Ano Zero Plano de Estudos IV (Empreendedorismo),F,2002-04-11,"R. Gonçalo Domingues, 63 5023-418 Fundão",228701243,968541846
134,Patrícia-Núria Macedo,2023-09-07,Ano Zero Plano de Estudos II (Serviço Social),M,2003-04-23,"R. de Manuel d'Arriaga, S/N 0359-764 Ponta Delgada",76900768,176861790
135,Hugo Costa,2023-12-19,Ano Zero Área de Jornalismo,M,1995-08-04,"Rua de Fernandes, 179 5932-745 Trancoso",424208853,765413986
136,Alícia Jesus,2023-12-16,Ano Zero Área de Jornalismo,M,1991-03-06,"R. Helena Macedo, 63 7614-116 Gouveia",570221792,258403200
137,Emma Henriques,2023-06-27,Ano Zero Plano de Estudos II ( Gestão),M,2002-05-12,"Rua Cunha, 797 0639-908 Fátima",125594524,336654254
138,Salvador Martins,2023-08-28,Ano Zero Plano de Estudos II ( Gestão),M,1996-06-19,"Alameda de Castro, 14 8244-102 Santa Cruz",343003995,886287799
139,Kévim Silva,2023-09-29,1º Ciclo de Gestão de Recursos Humanos,F,1999-08-05,"Largo do Bonjardim, 51 2678-091 Sines",197064761,82448169
140,Micael do Paiva,2023-08-09,1º Ciclo de Empreendedorismo,F,1989-09-19,"Praça Constança Pires, S/N 8235-770 Amora",899083766,687600934
141,Sebastião Gomes,2023-05-13,1º Ciclo de Multimédia,M,1995-04-07,"Av de Nascimento, S/N 9383-895 Loulé",164384036,917232241
142,Mariana Baptista,2023-08-30,1º Ciclo de Jornalismo,M,2000-02-14,"Avenida de Loureiro, 26 9150-744 Fafe",458558981,466026309
143,Gabriel Campos,2023-12-07,1º Ciclo de Psicologia,M,2000-01-14,"R. de Neves, 43 2860-529 Ponte de Sor",402555277,443722170
144,Ariana do Cruz,2024-01-24,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",F,1990-07-12,"Largo Mara Barbosa, 84 0438-142 Trancoso",751731238,999837513
145,Valentim Valente,2023-05-27,1º Ciclo de Psicologia,F,1998-05-15,"Travessa Simões, 60 1930-528 Ermesinde",52421160,436911751
146,Carolina Tavares,2023-10-03,Ano Zero Área de Design,F,1995-08-23,"Avenida da Conceição, 560 9083-047 Ponte de Sor",160618484,179255402
147,Cláudio Castro-Freitas,2023-11-12,Ano Zero Plano de Estudos IV (Empreendedorismo),M,1989-04-21,"R. Nascimento, 159 5970-781 Funchal",986778443,347921577
148,Madalena Castro,2024-01-27,1º Ciclo de Psicologia,F,1999-05-19,"Praça Freitas, 18 0018-978 Loures",819544640,337842099
149,Júlia Amorim,2023-10-23,"Pós graduação Avaliação e Intervenção com famílias em crise, risco e perigo 2ª Edição",F,1990-04-06,"Av Santos, 1 7412-142 Mirandela",244743637,949206565
150,Gaspar Costa,2023-10-08,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,2002-01-23,"Avenida do Dr. Nuno Pinheiro Torres, 3 4540-326 Fafe",588290933,263731081
151,Luna Silva,2023-05-21,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,1995-04-16,"Largo do Conselho da Europa, 39 9765-824 Aveiro",356351965,111237325
152,Simão da Moura,2024-04-01,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",M,1994-01-06,"Largo Faria, 1 1003-940 Torres Vedras",557618658,253685160
153,Nuno Soares,2023-09-04,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",F,2002-04-18,"Alameda Macedo, 99 0651-071 Funchal",60320096,180927992
154,Petra-Teresa Brito,2023-06-12,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,1994-10-23,"Avenida Alexandre Torres, 1 3507-381 Vila Nova de Famalicão",91908583,325701431
155,Kyara Melo,2024-03-16,2º Ciclo de Serviço Social,M,1991-07-05,"Av Lopes, 1 6361-423 Vila Nova de Famalicão",861201082,546130159
156,Marcos Sá,2023-09-22,Pós graduação Intervenção com doentes de Alzheimer e outras demências – 8ª edição,F,1998-03-23,"Av do Prof. Ruy Luís Gomes, 39 1437-157 Bragança",20337813,213108619
157,Wilson Sousa,2023-09-19,1º ciclo de Serviço Social,F,1989-06-25,"Avenida de Reis, S/N 4988-727 Santa Maria da Feira",277158472,978569186
158,Bruna da Simões,2023-06-28,"Pós graduação Investigação e Segurança Contra Catástrofes, Crises e Acidentes 2ª edição",F,1990-05-22,"Avenida do Monte, 30 1002-594 Oliveira do Bairro",188608895,541486191
159,Kelly Borges,2023-06-03,1º Ciclo de Jornalismo,M,1999-08-06,"Alameda de São Lourenço, 99 6617-412 Rio Tinto",158868843,138045503
160,Gaspar Sousa-Monteiro,2023-09-24,1º Ciclo de Multimédia,F,1994-07-15,"Praça de Lourenço, 45 6746-159 Portalegre",413180163,621293481
161,Emma Leite,2023-06-20,2º Ciclo de Serviço Social,M,2002-06-19,"Avenida de Carvalho, 12 8644-605 Sintra",616630036,947856937
162,Valentina-Patrícia Amorim,2023-11-06,Ano Zero Área de Jornalismo,M,2002-11-17,"Avenida de Macedo, 4 1997-547 Vizela",227841981,889224119
163,Daniela-Lia Campos,2024-01-05,Pós graduação Psicoterapia Psicanalítica – 7ª edição,F,2005-04-15,"R. do Outeiro, S/N 0439-124 Bragança",290458443,456599925
164,William Gomes,2023-06-02,1º Ciclo de Gestão,M,1994-07-04,"Travessa da Torrinha, S/N 8951-650 Ovar",848245927,162822556
165,Emanuel de Teixeira,2023-05-26,Ano Zero Plano de Estudos II (Serviço Social),F,1992-03-17,"Av Ramos, 897 0396-102 Vila do Conde",502464343,96596076
166,Afonso Sousa,2024-01-10,1º Ciclo de Informática,M,1993-03-13,"Avenida Carlos Tavares, 64 9866-307 Olhão",531295251,724423803
167,Iara Pinho,2023-08-14,Ano Zero Área de Jornalismo,F,1991-12-09,"Rua Leite, 85 3021-234 Barcelos",276129387,861336426
168,Joana Antunes,2023-12-18,Ano Zero Área de Design,M,1999-09-09,"Avenida de Lima, 58 4095-330 Lamego",87705549,997911578
